logged_at,sport,market_type,home_team,away_team,match_date,start_time,outcome,total_line,decimal_odds,american_odds,implied_prob,market_implied_prob
2026-03-29T16:23:00Z,nba,moneyline,Bucks,Clippers,2026-03-29,2026-03-29T19:40:00Z,home,,8.5,750,0.1146,0.1176
2026-03-29T16:23:00Z,nba,moneyline,Bucks,Clippers,2026-03-29,2026-03-29T19:40:00Z,away,,1.1,-1000,0.8854,0.9091
2026-03-29T16:23:00Z,nba,total,Bucks,Clippers,2026-03-29,2026-03-29T19:40:00Z,over,221.5,1.98,-102,0.491,0.5051
2026-03-29T16:23:00Z,nba,total,Bucks,Clippers,2026-03-29,2026-03-29T19:40:00Z,under,221.5,1.91,-110,0.509,0.5236
2026-03-29T16:23:00Z,nba,moneyline,Pacers,Heat,2026-03-29,2026-03-29T21:10:00Z,home,,4.0,300,0.2424,0.25
2026-03-29T16:23:00Z,nba,moneyline,Pacers,Heat,2026-03-29,2026-03-29T21:10:00Z,away,,1.28,-357,0.7576,0.7812
2026-03-29T16:23:00Z,nba,total,Pacers,Heat,2026-03-29,2026-03-29T21:10:00Z,over,245.5,1.93,-108,0.5,0.5181
2026-03-29T16:23:00Z,nba,total,Pacers,Heat,2026-03-29,2026-03-29T21:10:00Z,under,245.5,1.93,-108,0.5,0.5181
2026-03-29T16:23:00Z,nba,moneyline,Hornets,Celtics,2026-03-29,2026-03-29T22:10:00Z,home,,1.98,-102,0.4962,0.5051
2026-03-29T16:23:00Z,nba,moneyline,Hornets,Celtics,2026-03-29,2026-03-29T22:10:00Z,away,,1.95,-105,0.5038,0.5128
2026-03-29T16:23:00Z,nba,total,Hornets,Celtics,2026-03-29,2026-03-29T22:10:00Z,over,216.0,1.93,-108,0.5,0.5181
2026-03-29T16:23:00Z,nba,total,Hornets,Celtics,2026-03-29,2026-03-29T22:10:00Z,under,216.0,1.93,-108,0.5,0.5181
2026-03-29T16:23:00Z,nba,moneyline,Nets,Kings,2026-03-29,2026-03-29T22:10:00Z,home,,2.0,100,0.4832,0.5
2026-03-29T16:23:00Z,nba,moneyline,Nets,Kings,2026-03-29,2026-03-29T22:10:00Z,away,,1.87,-115,0.5168,0.5348
2026-03-29T16:23:00Z,nba,total,Nets,Kings,2026-03-29,2026-03-29T22:10:00Z,over,221.5,1.93,-108,0.5,0.5181
2026-03-29T16:23:00Z,nba,total,Nets,Kings,2026-03-29,2026-03-29T22:10:00Z,under,221.5,1.93,-108,0.5,0.5181
2026-03-29T16:23:00Z,nba,moneyline,Raptors,Magic,2026-03-29,2026-03-29T22:10:00Z,home,,1.78,-128,0.5471,0.5618
2026-03-29T16:23:00Z,nba,moneyline,Raptors,Magic,2026-03-29,2026-03-29T22:10:00Z,away,,2.15,115,0.4529,0.4651
2026-03-29T16:23:00Z,nba,total,Raptors,Magic,2026-03-29,2026-03-29T22:10:00Z,over,225.5,1.91,-110,0.509,0.5236
2026-03-29T16:23:00Z,nba,total,Raptors,Magic,2026-03-29,2026-03-29T22:10:00Z,under,225.5,1.98,-102,0.491,0.5051
2026-03-29T16:23:00Z,nba,moneyline,Trail Blazers,Wizards,2026-03-29,2026-03-29T22:10:00Z,home,,1.08,-1250,0.9091,0.9259
2026-03-29T16:23:00Z,nba,moneyline,Trail Blazers,Wizards,2026-03-29,2026-03-29T22:10:00Z,away,,10.8,980,0.0909,0.0926
2026-03-29T16:23:00Z,nba,total,Trail Blazers,Wizards,2026-03-29,2026-03-29T22:10:00Z,over,237.5,1.91,-110,0.5,0.5236
2026-03-29T16:23:00Z,nba,total,Trail Blazers,Wizards,2026-03-29,2026-03-29T22:10:00Z,under,237.5,1.91,-110,0.5,0.5236
2026-03-29T16:23:00Z,nba,moneyline,Pelicans,Rockets,2026-03-29,2026-03-29T23:10:00Z,home,,3.0,200,0.3289,0.3333
2026-03-29T16:23:00Z,nba,moneyline,Pelicans,Rockets,2026-03-29,2026-03-29T23:10:00Z,away,,1.47,-213,0.6711,0.6803
2026-03-29T16:23:00Z,nba,total,Pelicans,Rockets,2026-03-29,2026-03-29T23:10:00Z,over,225.5,1.91,-110,0.5,0.5236
2026-03-29T16:23:00Z,nba,total,Pelicans,Rockets,2026-03-29,2026-03-29T23:10:00Z,under,225.5,1.91,-110,0.5,0.5236
2026-03-29T16:23:00Z,nba,moneyline,Thunder,Knicks,2026-03-29,2026-03-29T23:40:00Z,home,,1.29,-345,0.7529,0.7752
2026-03-29T16:23:00Z,nba,moneyline,Thunder,Knicks,2026-03-29,2026-03-29T23:40:00Z,away,,3.93,293,0.2471,0.2545
2026-03-29T16:23:00Z,nba,total,Thunder,Knicks,2026-03-29,2026-03-29T23:40:00Z,over,223.5,1.93,-108,0.5,0.5181
2026-03-29T16:23:00Z,nba,total,Thunder,Knicks,2026-03-29,2026-03-29T23:40:00Z,under,223.5,1.93,-108,0.5,0.5181
2026-03-29T16:23:00Z,nba,moneyline,Nuggets,Warriors,2026-03-30,2026-03-30T02:10:00Z,home,,1.16,-625,0.8424,0.8621
2026-03-29T16:23:00Z,nba,moneyline,Nuggets,Warriors,2026-03-30,2026-03-30T02:10:00Z,away,,6.2,520,0.1576,0.1613
2026-03-29T16:23:00Z,nba,total,Nuggets,Warriors,2026-03-30,2026-03-30T02:10:00Z,over,239.0,1.98,-102,0.491,0.5051
2026-03-29T16:23:00Z,nba,total,Nuggets,Warriors,2026-03-30,2026-03-30T02:10:00Z,under,239.0,1.91,-110,0.509,0.5236
2026-03-29T16:23:00Z,ncaam,moneyline,Michigan,Tennessee,2026-03-29,2026-03-29T18:15:00Z,home,,1.27,-370,0.7699,0.7874
2026-03-29T16:23:00Z,ncaam,moneyline,Michigan,Tennessee,2026-03-29,2026-03-29T18:15:00Z,away,,4.25,325,0.2301,0.2353
2026-03-29T16:23:00Z,ncaam,moneyline,Duke,UConn,2026-03-29,2026-03-29T21:05:00Z,home,,1.46,-217,0.6798,0.6849
2026-03-29T16:23:00Z,ncaam,moneyline,Duke,UConn,2026-03-29,2026-03-29T21:05:00Z,away,,3.1,210,0.3202,0.3226
2026-03-29T16:23:00Z,ncaam,moneyline,New Mexico,Tulsa,2026-04-02,2026-04-02T23:00:00Z,home,,1.57,-175,0.6143,0.6369
2026-03-29T16:23:00Z,ncaam,moneyline,New Mexico,Tulsa,2026-04-02,2026-04-02T23:00:00Z,away,,2.5,150,0.3857,0.4
2026-03-29T16:23:00Z,ncaam,moneyline,Auburn,Illinois St Redbirds,2026-04-03,2026-04-03T01:30:00Z,home,,1.36,-278,0.705,0.7353
2026-03-29T16:23:00Z,ncaam,moneyline,Auburn,Illinois St Redbirds,2026-04-03,2026-04-03T01:30:00Z,away,,3.25,225,0.295,0.3077
2026-03-29T16:23:00Z,ncaam,moneyline,Arizona,Tennessee,2026-04-04,2026-04-04T22:00:21Z,home,,1.36,-278,0.705,0.7353
2026-03-29T16:23:00Z,ncaam,moneyline,Arizona,Tennessee,2026-04-04,2026-04-04T22:00:21Z,away,,3.25,225,0.295,0.3077
2026-03-29T16:23:00Z,ncaam,moneyline,Duke,Illinois,2026-04-04,2026-04-04T22:00:36Z,home,,1.59,-169,0.6015,0.6289
2026-03-29T16:23:00Z,ncaam,moneyline,Duke,Illinois,2026-04-04,2026-04-04T22:00:36Z,away,,2.4,140,0.3985,0.4167
2026-03-29T16:23:00Z,ncaam,moneyline,UConn,Illinois,2026-04-04,2026-04-04T22:00:39Z,home,,2.02,102,0.474,0.495
2026-03-29T16:23:00Z,ncaam,moneyline,UConn,Illinois,2026-04-04,2026-04-04T22:00:39Z,away,,1.82,-122,0.526,0.5495
2026-03-29T16:23:00Z,ncaam,moneyline,Arizona,Michigan,2026-04-04,2026-04-04T22:00:41Z,home,,1.91,-110,0.5,0.5236
2026-03-29T16:23:00Z,ncaam,moneyline,Arizona,Michigan,2026-04-04,2026-04-04T22:00:41Z,away,,1.91,-110,0.5,0.5236
2026-03-29T16:23:00Z,mlb,moneyline,Braves,Royals,2026-03-29,2026-03-29T17:36:00Z,home,,1.68,-147,0.5862,0.5952
2026-03-29T16:23:00Z,mlb,moneyline,Braves,Royals,2026-03-29,2026-03-29T17:36:00Z,away,,2.38,138,0.4138,0.4202
2026-03-29T16:23:00Z,mlb,total,Braves,Royals,2026-03-29,2026-03-29T17:36:00Z,over,8.0,1.91,-110,0.5115,0.5236
2026-03-29T16:23:00Z,mlb,total,Braves,Royals,2026-03-29,2026-03-29T17:36:00Z,under,8.0,2.0,100,0.4885,0.5
2026-03-29T16:23:00Z,mlb,moneyline,Orioles,Twins,2026-03-29,2026-03-29T17:36:00Z,home,,1.67,-149,0.5856,0.5988
2026-03-29T16:23:00Z,mlb,moneyline,Orioles,Twins,2026-03-29,2026-03-29T17:36:00Z,away,,2.36,136,0.4144,0.4237
2026-03-29T16:23:00Z,mlb,total,Orioles,Twins,2026-03-29,2026-03-29T17:36:00Z,over,9.0,2.02,102,0.478,0.495
2026-03-29T16:23:00Z,mlb,total,Orioles,Twins,2026-03-29,2026-03-29T17:36:00Z,under,9.0,1.85,-118,0.522,0.5405
2026-03-29T16:23:00Z,mlb,moneyline,Phillies,Rangers,2026-03-29,2026-03-29T17:36:00Z,home,,1.65,-154,0.5936,0.6061
2026-03-29T16:23:00Z,mlb,moneyline,Phillies,Rangers,2026-03-29,2026-03-29T17:36:00Z,away,,2.41,141,0.4064,0.4149
2026-03-29T16:23:00Z,mlb,total,Phillies,Rangers,2026-03-29,2026-03-29T17:36:00Z,over,8.0,1.99,-101,0.4858,0.5025
2026-03-29T16:23:00Z,mlb,total,Phillies,Rangers,2026-03-29,2026-03-29T17:36:00Z,under,8.0,1.88,-114,0.5142,0.5319
2026-03-29T16:23:00Z,mlb,moneyline,Blue Jays,Athletics,2026-03-29,2026-03-29T17:38:00Z,home,,1.68,-147,0.5831,0.5952
2026-03-29T16:23:00Z,mlb,moneyline,Blue Jays,Athletics,2026-03-29,2026-03-29T17:38:00Z,away,,2.35,135,0.4169,0.4255
2026-03-29T16:23:00Z,mlb,total,Blue Jays,Athletics,2026-03-29,2026-03-29T17:38:00Z,over,9.0,2.05,105,0.477,0.4878
2026-03-29T16:23:00Z,mlb,total,Blue Jays,Athletics,2026-03-29,2026-03-29T17:38:00Z,under,9.0,1.87,-115,0.523,0.5348
2026-03-29T16:23:00Z,mlb,moneyline,Reds,Red Sox,2026-03-29,2026-03-29T17:41:00Z,home,,2.18,118,0.4481,0.4587
2026-03-29T16:23:00Z,mlb,moneyline,Reds,Red Sox,2026-03-29,2026-03-29T17:41:00Z,away,,1.77,-130,0.5519,0.565
2026-03-29T16:23:00Z,mlb,total,Reds,Red Sox,2026-03-29,2026-03-29T17:41:00Z,over,8.5,1.93,-108,0.5013,0.5181
2026-03-29T16:23:00Z,mlb,total,Reds,Red Sox,2026-03-29,2026-03-29T17:41:00Z,under,8.5,1.94,-106,0.4987,0.5155
2026-03-29T16:23:00Z,mlb,moneyline,Marlins,Rockies,2026-03-29,2026-03-29T17:41:00Z,home,,1.55,-182,0.631,0.6452
2026-03-29T16:23:00Z,mlb,moneyline,Marlins,Rockies,2026-03-29,2026-03-29T17:41:00Z,away,,2.65,165,0.369,0.3774
2026-03-29T16:23:00Z,mlb,total,Marlins,Rockies,2026-03-29,2026-03-29T17:41:00Z,over,8.0,1.95,-105,0.5013,0.5128
2026-03-29T16:23:00Z,mlb,total,Marlins,Rockies,2026-03-29,2026-03-29T17:41:00Z,under,8.0,1.96,-104,0.4987,0.5102
2026-03-29T16:23:00Z,mlb,moneyline,Mets,Pirates,2026-03-29,2026-03-29T17:41:00Z,home,,1.56,-179,0.6259,0.641
2026-03-29T16:23:00Z,mlb,moneyline,Mets,Pirates,2026-03-29,2026-03-29T17:41:00Z,away,,2.61,161,0.3741,0.3831
2026-03-29T16:23:00Z,mlb,total,Mets,Pirates,2026-03-29,2026-03-29T17:41:00Z,over,7.5,1.93,-108,0.5089,0.5181
2026-03-29T16:23:00Z,mlb,total,Mets,Pirates,2026-03-29,2026-03-29T17:41:00Z,under,7.5,2.0,100,0.4911,0.5
2026-03-29T16:23:00Z,mlb,moneyline,Brewers,White Sox,2026-03-29,2026-03-29T18:11:00Z,home,,1.63,-159,0.6005,0.6135
2026-03-29T16:23:00Z,mlb,moneyline,Brewers,White Sox,2026-03-29,2026-03-29T18:11:00Z,away,,2.45,145,0.3995,0.4082
2026-03-29T16:23:00Z,mlb,total,Brewers,White Sox,2026-03-29,2026-03-29T18:11:00Z,over,7.5,1.91,-110,0.514,0.5236
2026-03-29T16:23:00Z,mlb,total,Brewers,White Sox,2026-03-29,2026-03-29T18:11:00Z,under,7.5,2.02,102,0.486,0.495
2026-03-29T16:23:00Z,mlb,moneyline,Astros,Angels,2026-03-29,2026-03-29T18:11:00Z,home,,1.6,-167,0.6098,0.625
2026-03-29T16:23:00Z,mlb,moneyline,Astros,Angels,2026-03-29,2026-03-29T18:11:00Z,away,,2.5,150,0.3902,0.4
2026-03-29T16:23:00Z,mlb,total,Astros,Angels,2026-03-29,2026-03-29T18:11:00Z,over,9.0,2.0,100,0.4859,0.5
2026-03-29T16:23:00Z,mlb,total,Astros,Angels,2026-03-29,2026-03-29T18:11:00Z,under,9.0,1.89,-112,0.5141,0.5291
2026-03-29T16:23:00Z,mlb,moneyline,Cardinals,Rays,2026-03-29,2026-03-29T18:16:00Z,home,,2.05,105,0.4784,0.4878
2026-03-29T16:23:00Z,mlb,moneyline,Cardinals,Rays,2026-03-29,2026-03-29T18:16:00Z,away,,1.88,-114,0.5216,0.5319
2026-03-29T16:23:00Z,mlb,total,Cardinals,Rays,2026-03-29,2026-03-29T18:16:00Z,over,7.5,1.89,-112,0.5141,0.5291
2026-03-29T16:23:00Z,mlb,total,Cardinals,Rays,2026-03-29,2026-03-29T18:16:00Z,under,7.5,2.0,100,0.4859,0.5
2026-03-29T16:23:00Z,mlb,moneyline,Cubs,Nationals,2026-03-29,2026-03-29T18:21:00Z,home,,1.42,-238,0.69,0.7042
2026-03-29T16:23:00Z,mlb,moneyline,Cubs,Nationals,2026-03-29,2026-03-29T18:21:00Z,away,,3.16,216,0.31,0.3165
2026-03-29T16:23:00Z,mlb,total,Cubs,Nationals,2026-03-29,2026-03-29T18:21:00Z,over,9.0,1.88,-114,0.5155,0.5319
2026-03-29T16:23:00Z,mlb,total,Cubs,Nationals,2026-03-29,2026-03-29T18:21:00Z,under,9.0,2.0,100,0.4845,0.5
2026-03-29T16:23:00Z,mlb,moneyline,Mariners,Guardians,2026-03-29,2026-03-29T23:21:00Z,home,,1.73,-137,0.5664,0.578
2026-03-29T16:23:00Z,mlb,moneyline,Mariners,Guardians,2026-03-29,2026-03-29T23:21:00Z,away,,2.26,126,0.4336,0.4425
2026-03-29T16:23:00Z,mlb,total,Mariners,Guardians,2026-03-29,2026-03-29T23:21:00Z,over,7.5,1.89,-112,0.5104,0.5291
2026-03-29T16:23:00Z,mlb,total,Mariners,Guardians,2026-03-29,2026-03-29T23:21:00Z,under,7.5,1.97,-103,0.4896,0.5076
2026-03-29T16:23:00Z,mma,moneyline,Guilherme Pat,Thomas Petersen,2026-04-04,2026-04-04T20:00:00Z,home,,1.87,-115,0.513,0.5348
2026-03-29T16:23:00Z,mma,moneyline,Guilherme Pat,Thomas Petersen,2026-04-04,2026-04-04T20:00:00Z,away,,1.97,-103,0.487,0.5076
2026-03-29T16:23:00Z,mma,moneyline,Abdulrakhman Yakhyaev,Brendson Ribeiro,2026-04-04,2026-04-04T22:00:00Z,home,,1.07,-1429,0.9131,0.9346
2026-03-29T16:23:00Z,mma,moneyline,Abdulrakhman Yakhyaev,Brendson Ribeiro,2026-04-04,2026-04-04T22:00:00Z,away,,11.25,1025,0.0869,0.0889
2026-03-29T16:23:00Z,mma,moneyline,Alessandro Costa,Stewart Nicoll,2026-04-04,2026-04-04T22:00:00Z,home,,1.25,-400,0.7664,0.8
2026-03-29T16:23:00Z,mma,moneyline,Alessandro Costa,Stewart Nicoll,2026-04-04,2026-04-04T22:00:00Z,away,,4.1,310,0.2336,0.2439
2026-03-29T16:23:00Z,mma,moneyline,Alice Pereira,Hailey Cowan,2026-04-04,2026-04-04T22:00:00Z,home,,1.91,-110,0.5237,0.5236
2026-03-29T16:23:00Z,mma,moneyline,Alice Pereira,Hailey Cowan,2026-04-04,2026-04-04T22:00:00Z,away,,2.1,110,0.4763,0.4762
2026-03-29T16:23:00Z,mma,moneyline,Azamat Bekoev,Tresean Gore,2026-04-04,2026-04-04T22:00:00Z,home,,1.2,-500,0.8095,0.8333
2026-03-29T16:23:00Z,mma,moneyline,Azamat Bekoev,Tresean Gore,2026-04-04,2026-04-04T22:00:00Z,away,,5.1,410,0.1905,0.1961
2026-03-29T16:23:00Z,mma,moneyline,Renato Moicano,Chris Duncan,2026-04-04,2026-04-04T22:00:00Z,home,,2.7,170,0.3617,0.3704
2026-03-29T16:23:00Z,mma,moneyline,Renato Moicano,Chris Duncan,2026-04-04,2026-04-04T22:00:00Z,away,,1.53,-189,0.6383,0.6536
2026-03-29T16:23:00Z,mma,moneyline,Landon Vannata,Darrius Flowers,2026-04-04,2026-04-04T22:00:00Z,home,,1.44,-227,0.672,0.6944
2026-03-29T16:23:00Z,mma,moneyline,Landon Vannata,Darrius Flowers,2026-04-04,2026-04-04T22:00:00Z,away,,2.95,195,0.328,0.339
2026-03-29T16:23:00Z,mma,moneyline,Dione Barbosa,Melissa Gatto,2026-04-04,2026-04-04T22:00:00Z,home,,1.69,-145,0.5711,0.5917
2026-03-29T16:23:00Z,mma,moneyline,Dione Barbosa,Melissa Gatto,2026-04-04,2026-04-04T22:00:00Z,away,,2.25,125,0.4289,0.4444
2026-03-29T16:23:00Z,mma,moneyline,Ethyn Ewing,Rafael Estevam,2026-04-04,2026-04-04T22:00:00Z,home,,1.89,-112,0.5141,0.5291
2026-03-29T16:23:00Z,mma,moneyline,Ethyn Ewing,Rafael Estevam,2026-04-04,2026-04-04T22:00:00Z,away,,2.0,100,0.4859,0.5
2026-03-29T16:23:00Z,mma,moneyline,Jose Delano,Robert Ruchala,2026-04-04,2026-04-04T22:00:00Z,home,,1.25,-400,0.7664,0.8
2026-03-29T16:23:00Z,mma,moneyline,Jose Delano,Robert Ruchala,2026-04-04,2026-04-04T22:00:00Z,away,,4.1,310,0.2336,0.2439
2026-03-29T16:23:00Z,mma,moneyline,Tommy McMillen,Manolo Zecchini,2026-04-04,2026-04-04T22:00:00Z,home,,1.1,-1000,0.8791,0.9091
2026-03-29T16:23:00Z,mma,moneyline,Tommy McMillen,Manolo Zecchini,2026-04-04,2026-04-04T22:00:00Z,away,,8.0,700,0.1209,0.125
2026-03-29T16:23:00Z,mma,moneyline,Virna Jandiroba,Tabatha Ricci,2026-04-04,2026-04-04T22:00:00Z,home,,2.0,100,0.4859,0.5
2026-03-29T16:23:00Z,mma,moneyline,Virna Jandiroba,Tabatha Ricci,2026-04-04,2026-04-04T22:00:00Z,away,,1.89,-112,0.5141,0.5291
2026-03-29T16:23:00Z,mma,moneyline,Charlie Radtke,Jose Henrique,2026-04-05,2026-04-05T00:30:00Z,home,,1.4,-250,0.6744,0.7143
