logged_at,run_id,run_type,snapshot_timestamp,snapshot_path,sport,entry_type,market_type,home_team,away_team,match_date,pick,actual,won,push,model_prob,home_prob,away_prob,draw_prob,implied_prob,market_implied_prob,edge,expected_value,american_odds,decimal_odds,total_line,confidence_score,kelly_fraction,fractional_kelly,closing_american_odds,closing_decimal_odds,closing_implied_prob,closing_market_implied_prob,closing_total_line,closing_line_value
2026-04-05T02:44:06Z,daily-20260404T124051486852Z,daily,2026-04-04T12:40:51Z,tracking/snapshots/2026-04-04/nba/daily-20260404T124051486852Z.json,nba,prediction,moneyline,Heat,Wizards,2026-04-04,home,home,true,false,0.8599,0.8599,0.1401,,,,-0.0392,-0.0697,-2000,,,41.2,0.0,0.0,,,,,,
2026-04-05T02:44:06Z,daily-20260404T124051486852Z,daily,2026-04-04T12:40:51Z,tracking/snapshots/2026-04-04/nba/daily-20260404T124051486852Z.json,nba,prediction,moneyline,Nuggets,Spurs,2026-04-04,away,home,false,false,0.6987,0.3013,0.6987,,,,0.0854,0.136,-130,,,81.9,0.1766,0.0441,,,,,,
2026-04-05T02:44:06Z,daily-20260404T124051486852Z,daily,2026-04-04T12:40:51Z,tracking/snapshots/2026-04-04/nba/daily-20260404T124051486852Z.json,nba,prediction,moneyline,76ers,Pistons,2026-04-04,away,away,true,false,0.6971,0.3029,0.6971,,,,0.0839,0.1156,-135,,,79.3,0.1562,0.0391,,,,,,
2026-04-05T02:44:06Z,daily-20260404T124051486852Z,daily,2026-04-04T12:40:51Z,tracking/snapshots/2026-04-04/nba/daily-20260404T124051486852Z.json,nba,slop_lock,moneyline,Nuggets,Spurs,2026-04-04,away,home,false,false,0.6418,,,,0.5564,0.565,0.0854,0.136,-130,1.77,,81.9,0.1766,0.0441,-370,1.27,0.8124,0.7874,,0.2474
2026-04-05T02:44:06Z,daily-20260404T124051486852Z,daily,2026-04-04T12:40:51Z,tracking/snapshots/2026-04-04/nba/daily-20260404T124051486852Z.json,nba,slop_lock,moneyline,76ers,Pistons,2026-04-04,away,away,true,false,0.6412,,,,0.5573,0.5747,0.0839,0.1156,-135,1.74,,79.3,0.1562,0.0391,-147,1.68,0.5842,0.5952,,0.0095
2026-04-05T02:44:06Z,daily-20260404T124051486852Z,daily,2026-04-04T12:40:51Z,tracking/snapshots/2026-04-04/nba/daily-20260404T124051486852Z.json,nba,total_lock,total,Heat,Wizards,2026-04-04,under,over,false,false,0.5791,,,,0.5,0.5181,0.0791,0.1176,-108,1.93,247.5,76.8,0.1265,0.0316,-133,1.75,0.527,0.5714,288.5,-41.0
2026-04-05T02:44:06Z,daily-20260404T124051486852Z,daily,2026-04-04T12:40:51Z,tracking/snapshots/2026-04-04/nba/daily-20260404T124051486852Z.json,nba,total_lock,total,Nuggets,Spurs,2026-04-04,under,over,false,false,0.563,,,,0.4948,0.5128,0.0682,0.0978,-105,1.95,242.5,74.1,0.103,0.0257,-105,1.95,0.4948,0.5128,246.5,-4.0
2026-04-05T02:44:23Z,daily-20260404T124051486852Z,daily,2026-04-04T12:40:51Z,tracking/snapshots/2026-04-04/nhl/daily-20260404T124051486852Z.json,nhl,prediction,moneyline,Rangers,Red Wings,2026-04-04,home,home,true,false,0.5475,0.5475,0.4525,,,,0.0709,0.1304,126,,,65.5,0.1035,0.0207,,,,,,
2026-04-05T02:44:23Z,daily-20260404T124051486852Z,daily,2026-04-04T12:40:51Z,tracking/snapshots/2026-04-04/nhl/daily-20260404T124051486852Z.json,nhl,prediction,moneyline,Senators,Wild,2026-04-04,home,away,false,false,0.6571,0.6571,0.3429,,,,0.0789,0.1183,-118,,,78.9,0.1392,0.0278,,,,,,
2026-04-05T02:44:23Z,daily-20260404T124051486852Z,daily,2026-04-04T12:40:51Z,tracking/snapshots/2026-04-04/nhl/daily-20260404T124051486852Z.json,nhl,prediction,moneyline,Stars,Avalanche,2026-04-04,home,away,false,false,0.5353,0.5353,0.4647,,,,0.0296,0.0363,101,,,48.0,0.0359,0.0072,,,,,,
